event spreadsheets	event type	event name	threat	description	money affected	reputation	Energy	bex income	polution affected (between -3 to 5	time	cost	run over	event prereq
Comp	major	Bexley Inc Bullshit 4: Reactor meltdown	"Several months ago Bexley Inc set up multiple reactors in the industrial sector when Mr. Bexley chose to pursue energy generation. Normally such reactors would be a great means to generate power for a city, however due to mismanagement from Bexley Inc one of the reactors had a massive meltdown. Such an event needs to be handled as fast as possible!"	"With the quick action of your municipal government, the Reactor meltdown was taken care of before any serious damage could be done to any area outside of the industrial sector. After some cleaning, disposing of waste, and Bexley Inc selling their factories the reactor is good as new and ready to return to production!"	0	0	0	0	0	2	4	0	
Fail	major	Bexley Inc Bullshit 4: Reactor meltdown		"Due to the failure to act on such an urgent issue, and the poor management of Bexley Inc the reactor meltdown grew worse and worse until the federal government had to step in calling for a mass evacuation of the city. Shortly there after Mr. Bexley himself came out to testify on how your municipal leadership led to such a catastrophe. Such matters should not be ignored."	0	0	0	0	0	2	4	1	
Comp	major	Natural disaster: Tornado	"Due to climate change the weather has grown more and more extreme. Due to this a tornado has landed in the city! This has caused an immense amount of damage to every part of the city! All sectors of the city are in dire need of repair, and a begging for aid to help return the city to some sense of normalcy"	"With the proper funding the city was able to rebuild many of its damaged infrastructure, bringing it back to a state similar to what it once was. While not perfect, many citizens finally feel like they can breathe a sigh of relief, as the destruction brought forth by this tornado is finally past them."	0	0	0	0	-1	2	4	0	
Fail	major	Natural disaster: Tornado		"The choice to not give any aid to the city has left many puzzled, and confused, leading many to ask “why keep you in power?”, that question lingered in many people’s minds until many of them said “enough it enough”. With the frustration and disenfranchisement of most of the city being felt everywhere, you had no choice but to resign in shame. When disaster strikes, refusal to help is tantamount to abandonment."	0	0	0	0	-4	2	4	1	
Comp	minor	Community centre funds	"A local community centre has plans to add a new basketball court to their property for the locals to enjoy at their leisure. As such, the Centre’s director has requested aid in funding, citing that such an addition would be greatly beneficial for the community as it’ll give many local youth a place to play and get more exercise."	With the funding you provided The community centre was able to construct and finish a brand new basketball court. With the inclusion of the new court there has been a noticeable uptick in the amount of youth going out and playing in the court. This also led to more youth volunteering at the centre! The director is greatly thankful for your contribution.	0	2	0	0	-1	8	2	0	
Fail	minor	Community centre funds		"Without any funding the community centre wasn’t able to reach the amount they needed to construct the new court. While this didn’t disrupt any day to day activities, there have been reports of many local youth expressing disappointment as they feel as though public places where they can go to hang out and play are rapidly disappearing."	0	-2	0	0	0	8	2	0	
Comp	minor	Road infrastructure repaired	"A petition has landed itself in your office. It seems a portion of the population are fed up with the state of the roads in the city and are requesting that something be done with the ridiculous amount of potholes that are strewn across the city. The petition calls for repairs to happen, claiming that such a task would improve all facets of life in the city."	"Dubbed “Project Pothole”’, work on preparing and eventually filling in the potholes across the city began. Before the project was even fully complete many of the citizens had already begun expressing gratitude for the work. As well as more drivable roads which has led to many being able to get to their jobs, and an uptick in local businesses seeing more traffic as people felt more inclined to go out with the repairs to the streets."	1	1	1	0	2	6	3	0	
Fail	minor	Road infrastructure repaired		"The roads remained in their tattered, yet technically drivable, state. Life continued to go on as it always had, although there is a more noticeable bitterness in the air now, along with many citizens voice frustrations in the municipal governments refusal to listen to their needs."	0	-2	0	0	0	6	3	0	
Comp	minor	Movie theatre restoration	"a local theatre which has been in business for nearly a century recently had a massive fire, damaging it tremendously. Many people are concerned about the future of said theatre, as it stands as a a major historical building which many citizens have cherished memories of. As such, the owner has requested funding to help the restoration process of the theatre."	"Using the generous funding provided, the owner was able to not just restore the theatre, but make improvements that many people had been wanting for a long time. The grand reopening was one one the theatre’s most successful days. With one of its highest customer counts in its entire history! Many are relieved to see such an important part of the city's history is still here, ready to provide entertainment for many more decades to come!"	1	1	0	0	1	5	2	0	
Fail	minor	Movie theatre restoration		"Without any help the owner had to close the theatre and sell the plot it resided on. The plot was quickly bought up by Bexley Inc which tore down the old remains of the classic theatre, replacing it with a more modern, brutalist design building. The new purpose of this building is for Mr. Bexley to record and produce his new podcast “Bexley after hours” a podcast where Bexley “educates young men on such important topics as becoming a ‘high-value male’ and other related topics”"	-1	-1	0	0	3	5	2	0	
Comp	minor	Transit worker strike	"over the week a massive walk out of transit workers took place. Until the workers receive better pay, and better benefits they refuse to work. This has caused an influx of people relying on personal vehicles, or ride share/taxis in order to get to things like: school, work, or other outings. Many are now complaining about the disruption to their day to day lives as many rely on public transit in order to traverse the city."	"After increasing funding towards the transit system, the transit workers demands were finally met, with them receiving higher pay, and better benefits. With the transit workers returning to work and regular operations starting back up many citizens were not only relieved, but found that the transit workers as a result have provided better service to the public sector, resulting in many getting to work sooner!"	1	2	0	0	-2	6	3	0	
Fail	minor	Transit worker strike		"After ignoring the strikers for long enough eventually they had no choice but to return to their jobs after their attempts to keep the strike going was halted by union busting efforts. While some were finally happy to see transit return to the city, many voice disapproval over how the issue was handled as it simply prolonged many people’s struggle to arrive at work in a timely manner."	-2	-1	0	0	3	6	3	0	
